product_id,product_name,category,unit_price,customer_id,customer_name,order_id,quantity,stock_qty,order_date,store_id,store_name
SKU-58,Bike,Sports,71.29,CST-753,"Hull, Sutton and Park",OR-7276,462,804,2026-01-17,ST-04,Houston
SKU-45,Desk,Home,49.89,CST-679,"Brown, Butler and Beasley",OR-8065,178,329,2026-02-09,ST-04,Houston
SKU-56,Desk,Home,68.0,CST-647,Miller LLC,OR-4863,232,405,2026-02-28,ST-03,Chicago
SKU-38,Tablet,Electronics,110.38,CST-783,"Richmond, Benjamin and Ballard",OR-9229,304,394,2026-03-06,ST-04,Houston
SKU-80,Tea,Food,102.99,CST-704,"Simmons, Reese and Moran",OR-5951,74,142,2026-02-07,ST-03,Chicago
SKU-72,Tea,Food,23.12,CST-028,Weber-Boyd,OR-7407,3,125,2026-01-20,ST-02,Los Angeles
SKU-70,Tea,Food,67.87,CST-404,"Patton, Johnson and Carson",OR-7550,19,45,2026-02-04,ST-06,Dallas
SKU-78,Dumbbells,Sports,107.51,CST-592,Whitney Group,OR-2244,39,112,2026-03-07,ST-02,Los Angeles
SKU-22,Jeans,Clothing,70.92,CST-066,Moore-Medina,OR-4886,11,53,2026-02-16,ST-02,Los Angeles
SKU-46,T-Shirt,Clothing,118.02,CST-550,"Flores, Brown and Thomas",OR-9939,41,717,2026-03-05,ST-06,Dallas
SKU-46,Tablet,Electronics,28.05,CST-209,King-Jones,OR-4762,270,357,2026-01-31,ST-06,Dallas
SKU-56,Chair,Home,101.87,CST-245,Hampton-Hunter,OR-9144,97,207,2026-02-19,ST-02,Los Angeles
SKU-71,Bike,Sports,30.21,CST-691,Estrada and Sons,OR-6913,381,452,2026-01-08,ST-06,Dallas
SKU-11,Laptop,Electronics,117.34,CST-721,"Jensen, Golden and Wood",OR-9091,303,612,2026-02-21,ST-04,Houston
SKU-83,Dumbbells,Sports,65.11,CST-199,"Ramirez, Robinson and Mejia",OR-3180,36,391,2026-02-27,ST-07,Washington
SKU-30,Pillow,Home,43.57,CST-347,"Turner, Wilson and Lee",OR-5771,97,122,2026-01-08,ST-02,Los Angeles
SKU-66,Laptop,Electronics,113.76,CST-477,"Harris, Li and Houston",OR-2486,459,748,2026-01-29,ST-07,Washington
SKU-90,Water,Food,25.09,CST-722,"Villanueva, Johnston and Bolton",OR-9961,3,21,2026-03-02,ST-07,Washington
SKU-37,Dumbbells,Sports,75.8,CST-171,Walter and Sons,OR-3121,675,910,2026-01-16,ST-02,Los Angeles
SKU-23,Tablet,Electronics,99.93,CST-994,"Gonzalez, Hoffman and Evans",OR-1828,118,269,2026-02-13,ST-07,Washington
SKU-42,Lamp,Home,101.49,CST-602,Hicks-Rocha,OR-0365,285,313,2026-01-30,ST-06,Dallas
SKU-93,Tea,Food,77.79,CST-320,"Roman, Thompson and Wright",OR-9191,485,542,2026-02-23,ST-03,Chicago
SKU-78,Lamp,Home,77.7,CST-627,Snow and Sons,OR-7465,139,410,2026-02-25,ST-06,Dallas
SKU-35,Desk,Home,64.51,CST-361,"Booth, Combs and Martinez",OR-1347,483,850,2026-02-02,ST-01,New York
SKU-94,Pillow,Home,95.31,CST-290,Paul and Sons,OR-6707,370,406,2026-03-08,ST-03,Chicago
SKU-46,Gloves,Sports,117.42,CST-534,Joseph-Robertson,OR-0458,445,502,2026-02-03,ST-01,New York
SKU-69,Pillow,Home,51.86,CST-229,"Miller, Salinas and Lawrence",OR-8301,594,594,2026-02-24,ST-05,Miami
SKU-76,Desk,Home,84.65,CST-821,"Lane, Huynh and Phillips",OR-3725,265,527,2026-01-20,ST-04,Houston
SKU-67,Tea,Food,112.98,CST-064,"King, Boone and Hernandez",OR-3625,249,291,2026-01-10,ST-07,Washington
SKU-00,T-Shirt,Clothing,119.01,CST-451,"Hernandez, Davis and Scott",OR-7324,184,841,2026-01-04,ST-01,New York
SKU-09,Phone,Electronics,20.99,CST-770,Scott-Keller,OR-1399,245,497,2026-02-26,ST-03,Chicago
SKU-02,Yoga Mat,Sports,75.97,CST-351,Holland Group,OR-8111,78,281,2026-01-08,ST-01,New York
SKU-17,Shoes,Clothing,31.76,CST-579,Brooks PLC,OR-4682,160,821,2026-02-24,ST-05,Miami
SKU-94,Lamp,Home,25.87,CST-167,"Flores, Mitchell and Buchanan",OR-4478,16,67,2026-03-02,ST-06,Dallas
SKU-04,Shoes,Clothing,18.29,CST-292,"Barnes, Torres and Johnson",OR-4812,283,800,2026-03-10,ST-05,Miami
SKU-60,Water,Food,36.84,CST-398,Shah Group,OR-3606,6,70,2026-01-09,ST-07,Washington
SKU-40,Chair,Home,47.33,CST-359,Wright LLC,OR-1936,107,166,2026-01-22,ST-01,New York
SKU-86,Lamp,Home,57.49,CST-506,Burgess-Brock,OR-1890,215,304,2026-02-21,ST-04,Houston
SKU-81,Dumbbells,Sports,88.42,CST-927,Jackson LLC,OR-1280,10,119,2026-03-10,ST-02,Los Angeles
SKU-99,Pillow,Home,112.19,CST-606,Aguirre PLC,OR-8883,9,100,2026-01-20,ST-04,Houston
SKU-40,Gloves,Sports,69.7,CST-185,West-Hoover,OR-5177,484,801,2026-02-26,ST-02,Los Angeles
SKU-76,Chair,Home,87.69,CST-502,Wheeler-Mcdaniel,OR-6268,40,948,2026-02-11,ST-05,Miami
SKU-05,Gloves,Sports,98.23,CST-323,"Fuller, Holloway and Williams",OR-0656,317,587,2026-01-01,ST-01,New York
SKU-74,Snacks,Food,74.27,CST-107,Harrell-Potter,OR-1835,410,792,2026-01-05,ST-05,Miami
SKU-25,Desk,Home,122.29,CST-610,"Keith, Allen and Pham",OR-2980,54,432,2026-02-10,ST-03,Chicago
SKU-59,Tea,Food,65.59,CST-277,Guzman-Shannon,OR-4604,204,333,2026-02-20,ST-05,Miami
SKU-64,Chair,Home,104.29,CST-398,Thompson Ltd,OR-3013,27,237,2026-01-07,ST-01,New York
SKU-87,Phone,Electronics,31.84,CST-774,Hughes LLC,OR-6174,197,369,2026-02-24,ST-06,Dallas
SKU-47,Pillow,Home,89.4,CST-775,"Booth, Wilson and Lowe",OR-8712,242,604,2026-01-09,ST-05,Miami
SKU-74,Pillow,Home,96.24,CST-209,Mckee-Herman,OR-9774,152,182,2026-01-25,ST-01,New York
SKU-71,Tablet,Electronics,80.37,CST-906,Harris Ltd,OR-6180,405,781,2026-03-10,ST-07,Washington
SKU-59,Yoga Mat,Sports,60.37,CST-703,"Foster, Norman and Carter",OR-6121,365,927,2026-01-21,ST-04,Houston
SKU-75,Jeans,Clothing,104.29,CST-617,Smith Ltd,OR-2828,4,59,2026-01-12,ST-05,Miami
SKU-81,Gloves,Sports,119.02,CST-670,"Anderson, Farmer and Alvarez",OR-4702,155,562,2026-01-03,ST-06,Dallas
SKU-68,Desk,Home,43.13,CST-901,Hughes-Edwards,OR-2032,181,504,2026-01-06,ST-04,Houston
SKU-19,Gloves,Sports,71.48,CST-031,Berger-Taylor,OR-9684,15,19,2026-02-24,ST-04,Houston
SKU-12,Snacks,Food,55.68,CST-002,Gardner LLC,OR-1429,497,882,2026-02-07,ST-07,Washington
SKU-14,Jacket,Clothing,72.15,CST-746,"Graham, Howe and Benton",OR-4989,258,870,2026-03-06,ST-06,Dallas
SKU-22,Pillow,Home,94.02,CST-851,"Davis, Jimenez and Rodriguez",OR-5664,593,978,2026-01-18,ST-02,Los Angeles
SKU-25,Lamp,Home,65.57,CST-412,Duncan-Hoffman,OR-5541,4,7,2026-01-03,ST-02,Los Angeles
SKU-91,Tablet,Electronics,72.27,CST-690,Thomas-Schmidt,OR-6243,134,744,2026-02-13,ST-02,Los Angeles
SKU-91,Jacket,Clothing,67.21,CST-926,Jones-Gonzalez,OR-7918,325,434,2026-02-07,ST-02,Los Angeles
SKU-59,Jacket,Clothing,71.45,CST-571,"Duran, Butler and Buchanan",OR-8414,158,207,2026-01-28,ST-01,New York
SKU-81,Water,Food,58.11,CST-465,Bradley LLC,OR-8022,143,826,2026-01-17,ST-03,Chicago
SKU-10,Chair,Home,60.3,CST-031,Jennings-Shaw,OR-3081,230,961,2026-01-13,ST-06,Dallas
SKU-26,Bike,Sports,114.17,CST-833,Jones Ltd,OR-2419,330,568,2026-02-15,ST-05,Miami
SKU-60,Gloves,Sports,61.3,CST-762,Hendricks-Barron,OR-4646,6,113,2026-01-18,ST-03,Chicago
SKU-04,Laptop,Electronics,55.17,CST-044,Daniels-Bolton,OR-8316,10,57,2026-01-28,ST-02,Los Angeles
SKU-09,Bike,Sports,103.67,CST-880,"Wallace, Keller and Peters",OR-1849,210,221,2026-02-26,ST-03,Chicago
SKU-61,Water,Food,23.41,CST-829,Irwin PLC,OR-2515,130,985,2026-03-03,ST-06,Dallas
SKU-48,Chair,Home,88.74,CST-846,Archer-Kaiser,OR-1859,220,412,2026-01-01,ST-06,Dallas
SKU-26,Dumbbells,Sports,76.55,CST-849,Martinez Group,OR-8546,212,776,2026-02-05,ST-02,Los Angeles
SKU-34,Yoga Mat,Sports,56.08,CST-609,Bailey and Sons,OR-8998,455,830,2026-03-01,ST-01,New York
SKU-61,Water,Food,36.31,CST-966,Avila-Hull,OR-7862,213,236,2026-01-26,ST-03,Chicago
SKU-73,Jeans,Clothing,96.09,CST-721,"Cobb, Gates and Martin",OR-0836,106,173,2026-01-24,ST-07,Washington
SKU-97,Laptop,Electronics,118.38,CST-480,Hernandez-Parker,OR-1748,403,850,2026-02-21,ST-05,Miami
SKU-91,Bike,Sports,34.38,CST-761,Diaz PLC,OR-3383,61,939,2026-01-24,ST-06,Dallas
SKU-35,Dumbbells,Sports,101.04,CST-120,"Collins, Russell and Stevens",OR-9677,280,534,2026-02-17,ST-04,Houston
SKU-74,Monitor,Electronics,113.44,CST-085,Heath-Garza,OR-3846,56,147,2026-01-26,ST-01,New York
SKU-87,Bike,Sports,115.69,CST-642,"Flynn, Rogers and Scott",OR-4789,168,326,2026-03-05,ST-04,Houston
SKU-84,Yoga Mat,Sports,103.59,CST-022,Smith-Taylor,OR-1239,38,52,2026-01-04,ST-04,Houston
SKU-46,Desk,Home,17.86,CST-129,Peters-Odom,OR-8398,92,466,2026-01-27,ST-06,Dallas
SKU-62,Gloves,Sports,107.47,CST-938,"Williams, Miranda and Lucas",OR-7892,5,959,2026-03-02,ST-06,Dallas
SKU-20,Water,Food,95.3,CST-112,Mullins-Zuniga,OR-8715,676,746,2026-01-07,ST-07,Washington
SKU-87,Bike,Sports,123.19,CST-569,Nelson and Sons,OR-4541,264,502,2026-02-05,ST-01,New York
SKU-42,Chair,Home,50.56,CST-716,Patel PLC,OR-6258,14,158,2026-02-25,ST-01,New York
SKU-86,Bike,Sports,57.85,CST-177,Wilson and Sons,OR-4128,343,466,2026-02-25,ST-03,Chicago
SKU-32,Water,Food,65.9,CST-860,"Odonnell, Montgomery and Ward",OR-3490,30,103,2026-01-25,ST-04,Houston
SKU-51,Coffee,Food,82.25,CST-604,"Friedman, Miller and Saunders",OR-7089,542,713,2026-03-07,ST-07,Washington
SKU-93,Jacket,Clothing,90.94,CST-946,Sutton and Sons,OR-5302,253,752,2026-01-20,ST-07,Washington
SKU-68,Jacket,Clothing,81.57,CST-743,Chaney-Pineda,OR-4338,49,70,2026-01-09,ST-02,Los Angeles
SKU-84,Shoes,Clothing,57.83,CST-108,Curtis Group,OR-0252,28,289,2026-01-30,ST-05,Miami
SKU-63,T-Shirt,Clothing,78.43,CST-516,"Pratt, Rodriguez and Conner",OR-6498,588,845,2026-02-23,ST-05,Miami
SKU-61,Gloves,Sports,91.04,CST-345,"Saunders, Bernard and Flowers",OR-1000,500,815,2026-03-01,ST-04,Houston
SKU-17,T-Shirt,Clothing,17.57,CST-954,Johnson PLC,OR-4155,146,292,2026-01-29,ST-07,Washington
SKU-91,Tablet,Electronics,74.64,CST-853,Sanders and Sons,OR-4536,418,856,2026-01-19,ST-04,Houston
SKU-31,Jeans,Clothing,20.72,CST-158,"Baker, Davis and Campbell",OR-7349,354,403,2026-01-28,ST-02,Los Angeles
SKU-02,Laptop,Electronics,20.78,CST-213,"Todd, Snow and Anderson",OR-0963,653,858,2026-02-10,ST-04,Houston
SKU-19,Tablet,Electronics,110.59,CST-644,"Stephens, Flores and Liu",OR-7730,145,227,2026-02-16,ST-02,Los Angeles
SKU-95,Coffee,Food,98.58,CST-165,"Nelson, Rodriguez and Peters",OR-3578,172,176,2026-01-19,ST-05,Miami
SKU-71,Pillow,Home,123.85,CST-711,Beck Group,OR-8888,165,473,2026-01-06,ST-05,Miami
SKU-92,Pillow,Home,37.38,CST-792,"Phillips, Williams and Petty",OR-9771,242,953,2026-01-13,ST-01,New York
SKU-46,Bike,Sports,87.65,CST-241,"Lee, Ramos and Horton",OR-7806,656,667,2026-01-23,ST-03,Chicago
SKU-29,Chair,Home,32.64,CST-577,Johnson-Alvarado,OR-7462,150,184,2026-02-12,ST-04,Houston
SKU-92,Tea,Food,116.41,CST-469,Bryant-Mitchell,OR-7699,658,808,2026-03-10,ST-01,New York
SKU-43,Snacks,Food,17.95,CST-808,Miller-Hall,OR-9856,59,83,2026-02-06,ST-07,Washington
SKU-53,Tablet,Electronics,119.28,CST-244,Thompson-Smith,OR-7997,134,172,2026-01-02,ST-06,Dallas
